"COLABORADOR","FECHA_FIN","FECHA_INICIO","ID","INTERACCIONES_TOTALES","NOMBRE","PROMEDIO_VISITAS_MENSUALES","SEGUIDORES","TASA_CRECIMIENTO_SEGUIDORES"
"Pedro Gonzalez","2023-03-30","2023-07-01","1","1279203","Carlos Ruiz","9684","241503","8.03250201023239"
"Luis Blanco","2023-08-30","2023-09-01","2","1440644","Ana Lopez","135387","198102","1.935135181901324"
"Elena Perez","2023-03-30","2023-05-01","3","1001781","Lucia Garcia","136207","414907","8.800496344107474"
"Elena Perez","2023-04-30","2023-06-01","4","1021687","Lucia Garcia","109844","174577","3.1498209800016177"
"Sofia Martin","2023-03-30","2023-09-01","5","256746","Lucia Garcia","33096","366973","5.275429892223573"
"Luis Blanco","2023-01-30","2023-06-01","6","682413","Ana Lopez","74658","106167","1.120392281646726"
"Juan Garcia","2023-06-30","2023-03-01","7","1318100","Carlos Ruiz","151327","155137","3.0665010178273944"
"Sofia Martin","2023-08-30","2023-06-01","8","1431748","Marta Sanchez","124650","551661","4.220583645764206"
"Pedro Gonzalez","2023-03-30","2023-06-01","9","1218639","Luis Fernandez","140200","397116","9.366427929439562"
"Sofia Martin","2023-04-30","2023-09-01","10","809264","Lucia Garcia","52630","517624","3.2381504725927335"
"Juan Garcia","2023-07-30","2023-02-01","11","1274386","Carlos Ruiz","12805","469272","9.757122561677999"
"Luis Blanco","2023-01-30","2023-03-01","12","95493","Carlos Ruiz","165137","189170","3.0425202828321773"
"Luis Blanco","2023-06-30","2023-04-01","13","586998","Luis Fernandez","68494","539563","6.493644584794778"
"Pedro Gonzalez","2023-03-30","2023-01-01","14","559401","Lucia Garcia","129626","482319","5.783661165039888"
"Luis Blanco","2023-04-30","2023-03-01","15","1352655","Lucia Garcia","71707","320023","5.6288159118645"
"Luis Blanco","2023-01-30","2023-01-01","16","539402","Marta Sanchez","16735","380098","5.881597490513892"
"Juan Garcia","2023-06-30","2023-04-01","17","321703","Marta Sanchez","93079","516679","0.5765347497860551"
"Pedro Gonzalez","2023-06-30","2023-01-01","18","941400","Marta Sanchez","79511","314537","9.331005837485693"
"Sofia Martin","2023-04-30","2023-01-01","19","971642","Marta Sanchez","182637","473778","8.825487748347884"
"Juan Garcia","2023-07-30","2023-08-01","20","1184633","Marta Sanchez","35327","545616","2.012670972243252"
"Luis Blanco","2023-02-30","2023-06-01","21","654642","Carlos Ruiz","57322","118109","1.3129154852169955"
"Juan Garcia","2023-04-30","2023-06-01","22","1921168","Lucia Garcia","172314","468658","7.963433677748009"
"Juan Garcia","2023-06-30","2023-07-01","23","1999242","Luis Fernandez","54938","534614","4.806418093741013"
"Elena Perez","2023-07-30","2023-03-01","24","1342989","Luis Fernandez","126230","326335","6.002367837759258"
"Sofia Martin","2023-01-30","2023-06-01","25","398937","Marta Sanchez","10620","133301","4.91920387724295"
"Sofia Martin","2023-06-30","2023-05-01","26","510092","Luis Fernandez","177680","364755","0.7115460144958086"
"Pedro Gonzalez","2023-07-30","2023-04-01","27","1741323","Carlos Ruiz","188795","116002","0.6195562726359294"
"Pedro Gonzalez","2023-01-30","2023-05-01","28","125956","Lucia Garcia","16969","516448","3.5185203411728185"
"Elena Perez","2023-02-30","2023-05-01","29","1244595","Luis Fernandez","35183","591872","8.202837692040628"
"Pedro Gonzalez","2023-03-30","2023-09-01","30","1569852","Carlos Ruiz","185187","360937","3.5454061997452726"
"Pedro Gonzalez","2023-07-30","2023-07-01","31","682106","Lucia Garcia","73056","296245","6.622840196535394"
"Elena Perez","2023-06-30","2023-09-01","32","1550221","Marta Sanchez","66330","465099","6.46901335143189"
"Pedro Gonzalez","2023-05-30","2023-02-01","33","1357034","Marta Sanchez","186354","147040","4.890995259900689"
"Elena Perez","2023-07-30","2023-04-01","34","1525525","Marta Sanchez","74164","400200","1.1029521005193754"
"Sofia Martin","2023-06-30","2023-07-01","35","1556672","Lucia Garcia","199851","133033","4.97061514983606"
"Juan Garcia","2023-05-30","2023-04-01","36","1253321","Luis Fernandez","132248","189585","0.3095777902355512"
"Elena Perez","2023-02-30","2023-04-01","37","1911236","Luis Fernandez","6737","210981","5.131970637217958"
"Juan Garcia","2023-02-30","2023-04-01","38","1053218","Lucia Garcia","27056","346160","0.6177407252822742"
"Luis Blanco","2023-04-30","2023-06-01","39","1580160","Lucia Garcia","174891","170130","8.689516704348858"
"Luis Blanco","2023-03-30","2023-04-01","40","825156","Lucia Garcia","94486","440427","6.641650187907796"
"Sofia Martin","2023-03-30","2023-04-01","41","1577635","Carlos Ruiz","42953","356100","6.006208104876684"
"Elena Perez","2023-08-30","2023-02-01","42","1842908","Ana Lopez","125321","510443","6.555696520528893"
"Elena Perez","2023-05-30","2023-01-01","43","1316296","Luis Fernandez","100630","315526","2.580375785498071"
"Pedro Gonzalez","2023-02-30","2023-04-01","44","974887","Carlos Ruiz","144901","138394","9.722642623927385"
"Elena Perez","2023-07-30","2023-06-01","45","1839738","Ana Lopez","160084","514159","1.1321255701729416"
"Sofia Martin","2023-07-30","2023-01-01","46","961364","Marta Sanchez","152858","224073","0.5798084543034454"
"Elena Perez","2023-03-30","2023-06-01","47","628713","Luis Fernandez","104831","272561","3.677892312768175"
"Juan Garcia","2023-04-30","2023-05-01","48","482523","Lucia Garcia","114752","504820","7.8927395884037175"
"Luis Blanco","2023-01-30","2023-04-01","49","1904810","Carlos Ruiz","51038","509181","7.718898012512833"
"Sofia Martin","2023-05-30","2023-02-01","50","1241259","Marta Sanchez","35364","199475","2.300581950106136"
